Title,Presenter,Minutes,Likes,Link
C++ in 100 seconds,Fireship,3,50000,https://www.youtube.com/watch?v=MNeX4EGtR5Y
C++ Tutorial for Beginners,Mosh,82,36000,https://www.youtube.com/watch?v=ZzaPdXTrSb8
